date,open,high,low,close,volume
2008/6/30,15315,15355,15145,15155,14796
2008/7/1,15020,15070,14900,14915,16048
2008/7/2,14835,14925,14805,14910,12040
2008/7/3,14895,14950,14860,14935,10466
2008/7/4,14950,14975,14830,14845,10468
2008/7/7,14795,14885,14735,14780,9042
2008/7/8,14735,14750,14645,14645,12592
2008/7/9,14655,14780,14630,14775,9580
2008/7/10,14760,14845,14760,14810,9326
2008/7/11,14830,14875,14735,14775,10260
2008/7/14,14750,14945,14675,14940,26920
2008/7/15,14860,14890,14805,14835,18666
2008/7/16,14890,15005,14865,14915,32432
2008/7/17,14910,14945,14840,14850,6928
2008/7/20,14750,14750,14665,14725,14624
2008/7/21,14705,14785,14490,14500,20194
2008/7/22,14505,14560,14435,14470,10914
2008/7/23,14420,14430,14195,14200,16758
2008/7/24,14300,14395,14285,14365,11920
2008/7/25,14395,14400,14280,14310,10034
2008/7/28,14375,14380,14250,14360,12780
2008/7/29,14320,14350,14205,14275,12756
2008/7/30,14320,14430,14310,14405,19174
2008/7/31,14365,14415,14270,14405,15526
2008/8/1,14420,14545,14390,14475,28562
2008/8/4,14370,14370,14140,14150,24100
2008/8/5,13970,14040,13940,14005,20040
2008/8/6,13985,14130,13980,14120,9362
2008/8/7,14120,14145,14055,14125,7298
2008/8/8,14170,14200,14110,14125,7058
2008/8/11,14000,14045,13955,13970,8792
2008/8/12,13980,14040,13950,13990,7884
2008/8/13,14050,14140,13975,14130,13640
2008/8/14,14210,14245,14030,14065,10854
2008/8/15,13945,13960,13840,13850,11210
2008/8/18,13835,14010,13800,13990,12716
2008/8/19,13950,14090,13900,14020,13952
2008/8/20,14080,14085,13945,13950,9512
2008/8/21,13995,14025,13890,13920,8988
2008/8/22,14030,14080,13915,13920,9624
2008/8/25,13900,13960,13880,13915,4348
2008/8/26,13850,13885,13660,13670,12564
2008/8/27,13705,13765,13640,13685,8218
2008/8/28,13710,13725,13620,13640,9284
2008/8/29,13595,13685,13580,13670,7624
2008/9/1,13670,13740,13610,13705,12912
2008/9/2,13605,13675,13535,13555,10796
2008/9/3,13620,13655,13535,13650,12128
2008/9/4,13625,13765,13615,13725,26614
2008/9/5,13625,13690,13625,13630,9960
2008/9/8,13555,13600,13455,13490,15990
2008/9/9,13465,13465,13305,13320,10970
2008/9/10,13260,13300,13180,13205,14216
2008/9/11,13190,13260,13160,13195,8754
2008/9/12,13200,13255,13190,13215,7016
2008/9/15,13200,13255,13190,13210,7224
2008/9/16,13090,13090,12720,12735,17102
2008/9/17,12730,12790,12680,12740,11152
2008/9/18,12815,12830,12610,12655,10278
2008/9/19,12705,12810,12670,12805,11372
2008/9/22,12925,13245,12820,13185,23878
2008/9/23,13200,13280,12975,13050,21980
